Video,SID,Exclude,Age,Trial,Condition,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U00959,121619_10,,,9,,dumbbell,,boundary,cone,boundary then cone then octahedron; tried againf from previous,cone,2
M2U00959,121619_10,,,10,,pentagon,,boundary,cone,,cone,
M2U00959,121619_10,,,11,,octahedron,,trig prism,,,,
M2U00959,121619_10,Y,,12,,pipe,,boundary outside,trig prism,,,
M2U00959,121619_10,,,12,,pipe,,boundary,trig prism,tried again from previous,trig prism,
M2U00960,121619_11,,,1,,pipe,,space,pyramid,,trig prism,
M2U00960,121619_11,,,2,,pipe,,pyramid,,,,
M2U00960,121619_11,,,3,,dumbbell,,pipe,,,,
M2U00960,121619_11,,,4,,dumbbell,,space,cone,,,
M2U00960,121619_11,,,5,,torus,,bowl,,,,
M2U00960,121619_11,,,6,,octahedron,,space,dumbbell,,pentagon,
M2U00960,121619_11,,,7,,dumbbell,,space,torus,,torus,
M2U00960,121619_11,,,8,,bowl,,trig prism,,,,
M2U00960,121619_11,,,9,,torus,,space,octahedron,,,
M2U00960,121619_11,,,10,,pyramid,,octahedron,,,,
